2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.337,101.0,0.273,11.0,29,1.8,8.3,2.4,,,,0.889,36.0,,5,,86.9,41.7,,LaMarcus Aldridge,PF,21.8,,,11.2,0.4,Por,0.059,14.5,0.426,29.9,7.3,2015
0.477,65.0,0.348,23.0,32,0.9,12.8,0.05,,,,0.818,22.0,,21,,22.7,10.9,,Leandro Barbosa,SG,5.0,,,1.3,0.29,Gol,0.109,6.4,0.532,21.5,6.6,2015
0.465,434.0,0.227,110.0,30,8.5,45.2,1.05,,,,0.731,167.0,,20,,88.0,42.2,,LeBron James,SF,30.1,,,11.3,1.65,Cle,0.117,14.7,0.487,37.6,13.5,2015
0.571,7.0,0.286,7.0,30,1.0,28.2,0.14,,,,0.0,0.0,,7,,11.2,5.4,,Lester Hudson,SG,2.0,,,0.1,0.29,Lac,0.176,1.4,0.5,19.5,4.3,2015
0.4,30.0,0.19,21.0,28,1.3,8.3,0.0,,,,0.833,18.0,,4,,53.3,25.6,,Lou Williams,SG,12.8,,,1.8,1.5,Tor,0.048,3.9,0.433,27.2,4.9,2015
0.333,21.0,0.364,22.0,37,4.6,36.3,0.86,,,,0.783,23.0,,7,,39.1,18.7,,Manu Ginobili,SG,8.0,,,3.4,0.57,San,0.209,9.8,0.527,22.9,10.7,2015
0.399,178.0,0.0,2.0,30,4.5,20.6,1.73,,,,0.852,88.0,,11,,78.7,37.8,,Marc Gasol,C,19.7,,,10.3,0.91,Mem,0.068,15.0,0.496,25.8,10.3,2015
0.628,86.0,0.0,0.0,30,2.2,12.1,1.1,,,,0.667,24.0,,10,,64.0,30.7,,Marcin Gortat,C,12.4,,,8.8,0.6,Was,0.142,15.5,0.642,16.2,8.1,2015
0.667,9.0,0.467,30.0,28,1.4,14.0,0.0,,,,0.846,13.0,,7,,34.6,16.6,,Marco Belinelli,SG,9.3,,,1.9,0.29,San,0.101,6.0,0.727,19.2,7.0,2015
0.688,16.0,0.231,13.0,20,1.3,9.8,0.25,,,,0.533,15.0,,4,,46.9,22.5,,Marcus Smart,PG,9.8,,,2.8,0.25,Bos,0.101,6.7,0.548,19.7,5.9,2015
0.667,3.0,0.0,2.0,23,0.5,17.9,0.0,,,,1.0,2.0,,2,,10.7,5.1,,Markel Brown,SG,3.0,,,1.0,0.0,Bro,0.254,10.6,0.51,35.2,9.0,2015
0.333,42.0,0.0,0.0,27,0.4,10.4,0.3,,,,0.6,15.0,,10,,13.9,6.7,,Marreese Speights,PF,3.7,,,2.1,0.4,Gol,0.076,17.1,0.381,35.3,8.7,2015
0.667,6.0,0.0,0.0,24,0.3,6.2,0.33,,,,0.364,11.0,,6,,17.1,8.2,,Mason Plumlee,C,2.0,,,1.3,0.67,Bro,0.217,8.8,0.554,12.9,4.5,2015
0.55,40.0,0.267,60.0,34,1.6,7.4,0.71,,,,0.75,20.0,,14,,60.8,29.2,,Matt Barnes,SF,7.6,,,5.1,1.43,Lac,0.128,9.1,0.492,13.3,5.4,2015
0.0,1.0,0.222,9.0,34,0.1,3.8,0.14,,,,0.0,0.0,,7,,10.8,5.2,,Matt Bonner,PF,0.9,,,0.9,0.0,San,0.091,8.9,0.3,13.6,3.3,2015
0.383,60.0,0.316,76.0,24,2.7,17.3,0.0,,,,0.781,32.0,,20,,51.8,24.8,,Matthew Dellavedova,SG,7.2,,,2.1,0.45,Cle,0.189,4.5,0.476,16.9,5.6,2015
0.5,8.0,0.769,13.0,22,1.0,8.3,0.4,,,,0.5,2.0,,5,,44.3,21.3,,Meyers Leonard,C,7.8,,,6.6,0.4,Por,0.121,16.8,0.891,10.7,7.0,2015
0.452,73.0,0.0,5.0,23,4.8,29.5,1.0,,,,0.583,12.0,,6,,66.3,31.8,,Michael Carter-Williams,PG,12.2,,,4.5,1.17,Mil,0.161,7.5,0.438,23.4,8.1,2015
0.492,63.0,0.303,33.0,27,5.0,28.6,0.0,,,,0.821,28.0,,8,,63.3,30.4,,Mike Conley,PG,14.4,,,1.1,1.38,Mem,0.1,2.0,0.531,22.6,5.7,2015
0.5,32.0,0.482,56.0,34,2.6,13.1,0.42,,,,0.947,19.0,,12,,67.5,32.4,,Mike Dunleavy,SF,10.9,,,4.0,0.83,Chi,0.135,6.8,0.68,13.1,6.0,2015
0.0,0.0,0.6,5.0,34,0.0,0.0,0.11,,,,0.0,0.0,,9,,15.1,7.3,,Mike Miller,SF,1.0,,,1.1,0.11,Cle,0.167,8.4,0.9,4.2,0.0,2015
0.72,25.0,0.25,8.0,23,0.1,1.8,0.3,,,,0.0,0.0,,10,,21.1,10.2,,Mike Muscala,PF,4.2,,,1.8,0.1,Atl,0.108,9.5,0.636,16.6,3.6,2015
0.586,29.0,0.154,26.0,26,0.5,4.6,0.0,,,,1.0,4.0,,11,,32.5,15.6,,Mike Scott,PF,4.5,,,4.2,0.45,Atl,0.11,14.4,0.44,16.9,5.4,2015
0.125,8.0,0.0,0.0,26,1.0,9.7,1.0,,,,0.5,2.0,,1,,34.1,16.4,,Miles Plumlee,C,3.0,,,6.0,0.0,Mil,0.101,19.4,0.169,27.1,6.4,2015
0.0,1.0,0.0,4.0,29,0.0,0.0,0.0,,,,0.0,0.0,,3,,11.4,5.5,,Mirza Teletovic,PF,0.0,,,1.3,0.33,Bro,0.167,13.2,0.0,16.8,0.0,2015
0.506,81.0,0.367,30.0,29,5.2,21.9,0.6,,,,0.75,20.0,,5,,82.1,39.4,,Monta Ellis,SG,26.0,,,3.4,2.0,Dal,0.118,4.4,0.543,28.2,7.8,2015
